video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,13.0,13.2,"Yes,",1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,13.2,14.0,Kamikaze,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,14.5,14.7,those,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,14.7,15.0,cattle,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,15.0,15.4,and,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,15.4,15.4,a,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,21.9,22.4,Gentleman,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,22.4,22.8,sir.,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,23.3,23.4,He,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,23.4,23.6,said,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,23.6,23.7,I,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,23.7,24.0,liked,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,24.0,24.3,her,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,24.3,24.6,is,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,25.5,25.7,Catalan,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,25.7,25.7,Easter,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,32.7,33.2,important,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,33.2,33.4,the,1
-U3lvJTLxCs,0,"Yes, Kamikaze those cattle and a Gentleman sir. He said I liked her is Catalan Easter important the function.",0.6177523732185364,33.4,34.0,function.,1
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,41.2,41.3,How,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,41.3,41.5,many,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,41.5,42.0,football,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,42.5,42.6,it's,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,42.6,42.8,often,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,42.8,43.0,said,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,43.0,43.2,that,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,43.2,43.4,football,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,43.4,43.5,and,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,43.5,43.9,politics,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,43.9,44.1,shouldn't,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,44.1,44.6,mix,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,44.8,45.0,but,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,45.0,45.0,the,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,45.0,45.4,reality,2
-U3lvJTLxCs,0,How many football it's often said that football and politics shouldn't mix but the reality is that they do.,0.7887675762176514,45.4,45.8,is,2
