video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,10.1,10.5,"Hi,",1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,10.5,10.7,I'm,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,10.7,11.0,Anita,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,11.0,11.4,Ravi,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,11.5,11.6,and,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,11.6,11.8,welcome,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,11.8,12.0,to,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,12.0,12.0,the,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,12.0,12.3,Robert,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,12.3,12.5,Wood,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,12.5,12.8,Johnson,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,12.8,13.4,Foundation.,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,13.4,13.8,Clinical,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,13.8,14.3,Scholars,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,14.3,14.6,video,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,14.6,15.2,podcast,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,15.2,15.8,series,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,15.9,16.0,Our,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,16.0,16.3,Guest,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,16.3,16.6,today,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,16.6,16.7,is,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,16.7,17.1,dr.,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,17.1,17.4,Donald,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,17.4,18.0,Schwartz,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,18.2,18.3,a,1
4d88Pgw7B5k,0,"Hi, I'm Anita Ravi and welcome to the Robert Wood Johnson Foundation. Clinical Scholars video podcast series Our Guest today is dr. Donald Schwartz a Robert Wood Johnson Foundation portfolio director. When you are a Commissioner of Health here, Philadelphia children had some of the highest rates of immunity childhood immunization. They still do yeah in large cities Across America. So now with outbreaks of measles and Disneyland and now this question of Parental choice and different things like that, how do you feel about kind of the current status of the discussion and the debate and even things like allowing children who aren't vaccinated to attend school how those kind of Regulation should be I'm a pretty hardcore guy when it comes to immunization and you know the current push back",0.9114631414413452,18.3,18.6,Robert,1
