video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,6.2,7.0,86,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,7.0,7.7,children,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,8.0,8.2,have,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,8.2,8.9,died,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,9.1,9.3,of,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,9.3,10.4,H1N1,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,10.9,11.5,since,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,12.2,12.3,the,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,12.3,12.6,very,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,12.6,12.9,first,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,12.9,13.4,case,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,13.8,14.1,came,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,14.1,14.3,out,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,14.3,14.6,several,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,14.6,14.8,months,1
5p6eRVANCMI,0,86 children have died of H1N1 since the very first case came out several months ago.,0.8714220523834229,14.8,15.2,ago.,1
5p6eRVANCMI,0," That's a very tough figure to swallow. The loss of one life is too many therefore. I have no doubt that what we begin here today will mean the saving of countless lives. It's also because of that that we launched a very important PSA campaign two weeks ago to educate parents about why children are at such high risk for H1N1 and why they should consider getting their children vaccinated. No, I just know that once the shot was out that she had to get it. It was a most important for me to her to have it. If you don't get the shot you could possibly end up having more complications in the future. I think it's the most it's a real most it's a daunting task for any health department to immunize more than a million in our community and we're taking it step by step. It might not be perfect today. But again, we ask patients we ask patients, but as days go by things will progress",0.9112037420272828,17.6,17.8,That's,2
