video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,0.1,0.7000000000000001,Zambia,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,0.7000000000000001,0.9,and,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,0.9,1.6,Nigeria,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,2.0,2.2,have,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,2.2,2.3,been,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,2.3,2.7,asked,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,2.7,2.7,to,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,2.7,3.1,join,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,3.1,3.3,other,1
AF9fxHkkrWc,0,"Zambia and Nigeria have been asked to join other African countries who have signed the African Continental Free Trade Agreement and following South Africa presidency, Rob and Paul says request at the effects in band's 25th anniversary the a you commissioner for trade and Industry Albert who changa made this request an exclusive interview with CNBC Africa's critical take a look at the means a lot because every decided it would take a decision to come up with our own institution to finance the threads and we're moving in that direction, which we have a lot of challenges with an annual shortfall of about 200 220 hundred and ten 220 billion US dollars per year short of trade Finance, but over time we can resolve that that one so with the that then we are ready in the position where we can also undertake studies to understand.",0.7835428714752197,3.3,3.6,African,1
