video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,3.3,3.5,The,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,3.5,3.9,illegal,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,3.9,4.4,Catalan,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,4.4,5.0,referendum,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,5.0,5.1,and,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,5.1,5.2,the,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,5.2,5.8,police,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,5.8,6.3,violence,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,6.3,6.4,that,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,6.4,6.5,was,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,6.5,6.8,caught,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,6.8,6.9,on,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,6.9,7.3,camera,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,7.3,7.7,triggered,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,7.7,7.8,the,1
DqixnYEgJEw,0,The illegal Catalan referendum and the police violence that was caught on camera triggered the biggest political crisis Bane had seen in decades police were seen pushing punching and kicking voters to move them away from polling stations on orders to seize the ballot boxes. And in the face of Voters young and old who stood their ground two million people cast their vote a quarter of all catalans get many more stayed away refusing to acknowledge the illegal referendum and urging Unity a year on what did it all achieve.,0.7882812619209291,7.8,8.3,biggest,1
