video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,26.1,26.7,"Hey,",1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,26.7,27.0,what's,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,27.0,27.2,going,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,27.2,27.3,on,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,27.3,27.7,everybody?,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,27.7,27.9,So,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,27.9,28.2,listen,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,28.2,28.4,you,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,28.4,28.9,guys,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,28.9,29.2,already,1
GAy-aEQffEs,0,"Hey, what's going on everybody? So listen you guys already know. My name is Yusef Scott. Also refer to as the forest goat. I want to welcome you guys here to the Saudis ephors moving where I have people just like you from all across the world the change of perspective on how you see the Forex market so you can eventually trading Forex market for problem. All right. Now listen as always tell you guys very thankful to have you guys here you guys already know you guys could be doing something totally different you guys should be watching someone else videos on someone else's child, but you're watching this video. So guess what? I have to thank you for it. I want to thank you for what? I really am thankful for you guys to be here supporting what I have going on now as always tell you guys if you're not yet connected with us on social media. Of course, that's Facebook. That's Instagram. You guys want you need to get connected notice. I said you need to get connected. All right, it's going to help you if you're supporting what I have going on.",0.7275869846343994,29.2,29.4,know.,1
