video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,1.3,1.5,We've,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,1.5,1.6,been,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,1.6,2.0,hearing,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,2.0,2.0,a,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,2.0,2.2,lot,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,2.2,2.4,about,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,2.4,3.3,anti-vaxxers,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,3.3,3.4,in,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,3.4,3.5,the,1
GzvfpyyZO9o,0,"We've been hearing a lot about anti-vaxxers in the news lately, but they've been around since the beginning of vaccines vaccines day back to the research of Edward Jenner a doctor who is working in rural Britain in the 1700s. He noticed that on the farm the milkmaids didn't get smallpox in the way everyone else around him seemed to so one by one. He started scraping pus from sick cows into the skin of his family members and miraculously, they didn't get sick his Discovery led to the smallpox vaccine and later the world's first and only infectious disease eradication of child has what we call active immunity is acquired this active immunity by actually having the disease fortunately. There's a safer way to get immunity. This is through vaccination Edward Jenner was basically ostracized from his community people thought it was disgusting that he would inject his family with pathogens from a sick animal fast forward to today in the same kinds of concerns. Continue. We do not need",0.9128403663635254,3.5,3.8,news,1
