video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,1.9,1.9,The,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,1.9,2.2,former,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,2.2,2.5,leader,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,2.5,2.6,of,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,2.6,3.1,Spain's,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,3.1,3.8,Catalonia,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,3.8,4.4,region,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,4.4,4.6,has,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,4.6,4.9,gone,1
HbhSyLxayws,0,The former leader of Spain's Catalonia region has gone on trial accused of organizing an illegal referendum on Independence Artemis is charged with criminal Disobedience for holding the symbolic pole in 2014 in which the vote was overwhelmingly in favor of splitting from the rest of Spain federal government says it violated the country's Constitution Mouse could be barred from office for up to 10 years if found guilty Jonah be a parody friends who had spoken with the president of the Spanish government trying to reach an agreement. It was never possible the same goes for the impossibility of any type of negotiation. We asked them the possibility of asking the citizenship in a generic and non legally binding way. We didn't BM Das at a consultation that would give legal power. We simply wanted to give age the opinion of the people of Catalonia not only because our government had ample majority but also as a consequence of massive demonstrations of people in favor of our cause,0.835917055606842,4.9,5.1,on,1
