video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,6.6,6.8,Does,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,6.8,7.0,free,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,7.0,7.5,trade,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,7.5,7.8,help,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,7.8,7.8,or,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,7.8,8.1,hurt,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,8.1,8.3,our,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,8.3,8.8,economy,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,8.8,9.1,to,1
Hn6tGICJoL4,0,"Does free trade help or hurt our economy to answer that question to me to answer that question. The answer is obvious. What's more natural than a free market? Why should it stop right there at our nation's borders and it was the government to tell me who I can trade with but my good friend and neighbor. Lou Dobbs doesn't exactly see it the same way. He's the host of Lou Dobbs radio and United Stations radio network joining us today from our beloved home state of New Jersey right there in front of his beautiful farmhouse on the other side of the issue is another great mind and my friend Tom Palmer senior fellow at the Cato Institute and vice president at the atlas economic Research Foundation who joins us from our Fox DC Bureau Lou to you first and beautiful bucolic Sussex County, New Jersey, if a car manufacturer in the United States of America can buy parts cheaper in China and Mexico and therefore sell a car cheaper to Americans in New Jersey and Michigan. Why shouldn't he be able to do it?",0.8526145219802856,9.1,9.4,answer,1
