video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,4.8,4.9,How,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,4.9,5.0,are,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,5.0,5.0,you,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,5.0,5.3,today?,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,5.3,5.5,Dr.,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,5.5,5.9,Palmer,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,5.9,6.2,very,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,6.2,6.6,well.,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,6.6,6.8,Thank,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,6.8,6.8,you,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,6.8,6.9,for,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,6.9,7.2,coming,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,7.2,7.6,today.,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,8.7,8.9,So,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,8.9,9.0,can,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,9.0,9.1,you,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,9.1,9.3,tell,1
KK0-_nNsDO4,0,"How are you today? Dr. Palmer very well. Thank you for coming today. So can you tell me a little bit about what your goals are with the atlas economic Research Foundation? Well, we have two very important tracks one is to assist think tanks and similar organizations all around the world who do research on the harmful effects of State intervention into voluntary exchange and the beneficial effects of freeing the market allowing people to be free to trade is they will and to live their own lives and then secondarily parallel to that very active program promoting a classical liberal or libertarian or just Freedom ideas in about 15 different languages in Russian and Arabic and Chinese and Kurdish and kiswahili in Portuguese and so on where we have very active programs platforms on the internet publishing programs videos and so on and that that",0.8897473812103271,9.3,9.4,me,1
