video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,1.1,1.4,After,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,1.4,2.0,Decades,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,2.0,2.2,of,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,2.2,2.8,sparring,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,2.8,3.0,with,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,3.0,3.0,the,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,3.0,3.6,government,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,3.6,3.8,of,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,3.8,4.1,post,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,4.1,5.0,dictatorships,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,5.0,5.6,Spain.,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,6.0,6.5,This,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,6.6,6.7,was,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,6.7,6.8,to,1
jgj9B5F1cL8,0,After Decades of sparring with the government of post dictatorships Spain. This was to be a day of action and emotion as MPS were summoned one by one to vote on a parliamentary motion declaring independence.,0.8587446808815002,6.8,7.0,be,1
