video_id,alternative_no,transcript,confidence,start_time,end_time,text,transcript_part
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,5.8,6.2,Yes,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,6.2,6.7,people,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,7.0,7.4,welcome,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,7.4,7.7,to,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,7.7,8.2,another,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,8.2,8.8,edition,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,8.8,9.2,of,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,9.2,9.5,my,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,9.5,9.9,dividend,1
taQWoXZNL8Y,0,"Yes people welcome to another edition of my dividend Journey. This is the state of my portfolio as of today and just touching the 5,000 pound Mark which I'm absolutely over the moon about and though the heading says I finally bought a Tesla or Tesla, but I am you know, what? I'll talk about that in just a bit. I just want to show you what my portfolio looks like at the moment and what I'm planning to do with the portfolio. I've decided to sell all my you to utility stocks.",0.8318535685539246,9.9,10.5,Journey.,1
