video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
-247-LtHex4,1800 pound,Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1800 pound,1800 pound,1800 pound,1800 pound,1800 pound,1800 pound,1800 pound,NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,"2,000 pound",Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,"2,000 pound","2,000 pound","2,000 pound","2,000 pound","2,000 pound","2,000 pound","2,000 pound",NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,20 percent,Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20 percent,20 percent,20 percent,20 perc,20 percent,20 percent,20 perc,NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,"20,000 pound",Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,2,1,"20,000 pound","20,000 pound","20,000 pound","20,000 pound","20,000 pound","20,000 pound","20,000 pound",NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,234 Palm,Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,234 Palm,234 Palm,234 Palm,234 Palm,234 palm,234 palm,234 palm,NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,40-pound,Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40-pound,40-pound,40-pound,40-pound,40-pound,40-pound,40-pound,NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,50 pound,Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,50 pound,50 pound,50 pound,50 pound,50 pound,50 pound,50 pound,NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,"9,000 pound",Quantity,NONE,NONE,0.360127,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,"9,000 pound","9,000 pound","9,000 pound","9,000 pound","9,000 pound","9,000 pound","9,000 pound",NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,Apple,Company,NONE,NONE,0.9078370000000001,negative,-0.872733,0.804072,0.00983,0.14699600000000002,0.030425999999999998,0.048183,5,1,Apple,Apple,Apple,Apple,appl,appl,appl,NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
-247-LtHex4,Army,Organization,NONE,NONE,0.432989,neutral,0.0,0.151395,0.091071,0.086215,0.099619,0.119872,1,1,Army,Army,Army,Army,armi,armi,army,NONE,0.999,0.018000000000000002,0.138,0.8440000000000001,0.1691411941716819,0.4633094006264741,positive,0.461636,0.090953,0.576947,0.599677,0.078124,0.08036,0.0,16.100000381469727,Free Trade,2019-04-26T09:36:27.000Z,UC0dgSFD448jg3n6n8hnp30A,ISA INVESTMENT PORTFOLIO WITH FREETRADE APP,"HEY GUYS THIS IS AN UPDATE ON MY DIVIDEND PORTFOLIO.
I HAD TO SELL EVERYTHING AND OPEN AN ISA DUE TO TAX RESONS. ENJOY",Misdemeanor Customs,"DIVIDEND JOURNEY', 'DIVIDEND PORTFOLIO', 'INVESTMENT ISA', 'ISA', 'INVESTMENT', 'DIVIDEND INVESTING', 'FREETRADE', 'FREETRADE APP', 'DIVIDENDS'",PT7M31S,451,8
