video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
1GHDHq7FSxg,60%,Quantity,NONE,NONE,0.308893,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,60 %,60 %,60 %,60 %,60 %,60 %,60 %,NONE,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,99%,Quantity,NONE,NONE,0.308893,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,99 %,99 %,99 %,99 %,99 %,99 %,99 %,NONE,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,Blaylock Wellness,Company,NONE,NONE,0.45661599999999997,positive,0.5737899999999999,0.143062,0.10621400000000003,0.527003,0.027854000000000004,0.08725,1,1,Blaylock Wellness,Blaylock Wellness,Blaylock Wellness,Blaylock Wellness,blaylock well,blaylock well,blaylock wel,NONE,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,CDC,Organization,"GovernmentAgency, GovernmentalBody",http://dbpedia.org/resource/Centers_for_Disease_Control_and_Prevention,0.347107,neutral,0.0,0.044842,0.075959,0.291107,0.017325999999999998,0.037798000000000005,1,1,CDC,CDC,CDC,CDC,cdc,cdc,cdc,http://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,Dr. Russell Blaylock,Person,Physician,http://dbpedia.org/resource/Russell_Blaylock,0.871275,positive,0.639971,0.137852,0.102105,0.578338,0.08267200000000001,0.11630599999999999,4,1,Dr. Russell Blaylock,Dr. Russell Blaylock,Dr. Russell Blaylock,Dr. Russell Blaylock,dr. russel blaylock,dr. russel blaylock,dr. russel blaylock,http://en.wikipedia.org/wiki/Russell_Blaylock,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,London,Location,City,NONE,0.374645,neutral,0.0,0.305807,0.14668299999999998,0.12605999999999998,0.080566,0.127752,1,1,London,London,London,London,london,london,london,NONE,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,Rand Paul,Person,Politician,http://dbpedia.org/resource/Rand_Paul,0.383893,neutral,0.0,0.12211,0.042914999999999995,0.446517,0.14851,0.10916300000000001,1,1,Rand Paul,Rand Paul,Rand Paul,Rand Paul,rand paul,rand paul,rand paul,http://en.wikipedia.org/wiki/Rand_Paul,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,editor,JobTitle,NONE,NONE,0.308893,positive,0.752421,0.120733,0.098937,0.53115,0.123143,0.164439,1,1,editor,editor,editor,edit,editor,editor,edit,NONE,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,hundred percent,Quantity,NONE,NONE,0.308893,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,hundred percent,hundr percent,hundr percent,hundr perc,hundr percent,hundr percent,hundr perc,NONE,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
1GHDHq7FSxg,president,JobTitle,NONE,NONE,0.369224,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,president,presid,presid,presid,presid,presid,presid,NONE,0.9045,0.102,0.116,0.782,0.11968199608610568,0.5620743639921721,negative,-0.402318,0.120954,0.571481,0.513389,0.118881,0.09616,0.0,17.799999237060547,Vaccination,2015-07-19T07:17:10.000Z,UCPvDn8vvYN6rk890faj8RMg,Dr.  Russell Blaylock Shares His Take on the Ongoing Vaccine Debate,"Malzberg Show - Dr. Blaylock shares his views on mandating vaccinations.  Vaccinations should not be mandated as they have never been proven to be 100% safe nor effective.  There is compelling scientific evidence showing that vaccinations are not as safe as the pharmaceutical industry-sponsored mainstream media are suggesting.  Significant serious complications such as death, seizures, encephalitis and brain damage can occur as a result of vaccination, all this is well documented in the medical literature and such complications are more frequent than the pharmaceutical industry-sponsored mainstream media would have people believe.

No one has the right to force parents to vaccinate especially when it is well documented in scientific studies demonstrating the mechanisms by which vaccinations can cause harm to children.

If it could be demonstrated that vaccinations were 100% safe and do not cause any adverse effects or harm, then it would be a different story. However, this cannot be demonstrated and the scientific evidence is clearly showing that vaccinations are continuing to cause complications..

Since the increase in the vaccination schedule, there appears to also be a correlation between the increase in auto-immune disease, neurological damage, impairment in learning, memory and speech linked to vaccination. 

The argument for mandating vaccination is that non-vaccinated children put other children at risk of disease  But if the vaccinations are as effective as the pharmaceutical companies suggest, why does it matter if other children are not vaccinated? If the vaccines are supposed  to prevent the child from getting the disease anyway? This is a poor argument, but it makes a lot of money for the pharmaceutical industries who sponsor the media and lobby politicians to support mandating their vaccinations. 

When the evidence for outbreaks like measles are examined we find that most of the children in these outbreaks were already fully vaccinated and that the vaccines are in fact no where near as effective as what the pharmaceutical companies are claiming. Many of these diseases such as measles and chicken pox are not fatal diseases in western countries, only in poor countries where there is lack of nutrition and the children there have compromised immune systems.",Russell Blaylock M.D,"Health (Industry)', 'Vaccine (Drug Class)', 'Russell Blaylock (Physician)', 'mandate'",PT5M53S,353,6
