video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
77jrFv83_aI,10%,Quantity,NONE,NONE,0.285439,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10 %,10 %,10 %,10 %,10 %,10 %,10 %,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,14 percent,Quantity,NONE,NONE,0.285439,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,14 percent,14 percent,14 percent,14 perc,14 percent,14 percent,14 perc,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,14%,Quantity,NONE,NONE,0.285439,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,14 %,14 %,14 %,14 %,14 %,14 %,14 %,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,18%,Quantity,NONE,NONE,0.285439,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,18 %,18 %,18 %,18 %,18 %,18 %,18 %,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,50 percent,Quantity,NONE,NONE,0.285439,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,50 percent,50 percent,50 percent,50 perc,50 percent,50 percent,50 perc,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,53.2%,Quantity,NONE,NONE,0.285439,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,53.2 %,53.2 %,53.2 %,53.2 %,53.2 %,53.2 %,53.2 %,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,AFC,Organization,NONE,NONE,0.318799,negative,-0.29570100000000005,0.402292,0.164196,0.21711799999999998,0.034391000000000005,0.18151,1,1,AFC,AFC,AFC,AFC,afc,afc,afc,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,Africa,Location,Continent,http://dbpedia.org/resource/Africa,0.387339,positive,0.810949,0.25249099999999997,0.035566,0.552298,0.061141999999999995,0.033481,1,1,Africa,Africa,Africa,Africa,africa,africa,afric,http://en.wikipedia.org/wiki/Africa,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,African Customs Union,Organization,NONE,NONE,0.48892299999999994,positive,0.558476,0.343541,0.061979999999999986,0.407378,0.026371,0.121366,2,1,African Customs Union,African Customs Union,African Customs Union,African Customs Union,african custom union,african custom union,afr custom un,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
77jrFv83_aI,African middle class,Organization,NONE,NONE,0.448562,positive,0.21139000000000002,0.329014,0.124589,0.375678,0.063041,0.150816,2,1,African middle class,African middl class,African middl class,African middl class,african middl class,african middl class,afr middl class,NONE,0.9994,0.031,0.132,0.8370000000000001,0.15889624384236453,0.4623221127531473,positive,0.556623,0.104437,0.5287649999999999,0.528303,0.15978499999999998,0.075191,0.0,16.700000762939453,Free Trade,2018-03-19T14:51:26.000Z,UCsba91UGiQLFOb5DN3Z_AdQ,Africa Union’s free trade area a step closer to fruition,"The African Continental Free Trade Agreement is now a step closer to fruition after a review of the draft and consultation with industry players, and experts. Ahead of the signing due on Wednesday, CNBC Africa spoke to the AU Commissioner for Trade and Industry H.E. Albert M. Muchanga on possible bottlenecks.",CNBCAfrica,"Closing Bell', 'African Continental Free Trade Agreement', 'AU Commissioner', 'Trade and Industry', 'Albert M. Muchanga', 'Continental Free Trade Agreement', 'ACFTA', 'Albert Muchanga', 'Africa Union', 'free trade'",PT8M56S,536,9
