video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
EEzgE2uwVuw,Adam Smith,Person,Philosopher,http://dbpedia.org/resource/Adam_Smith,0.726642,positive,0.44277799999999995,0.10774600000000001,0.046008999999999994,0.491609,0.038238999999999995,0.28067600000000004,4,1,Adam Smith,Adam Smith,Adam Smith,Adam Smith,adam smith,adam smith,adam smi,http://en.wikipedia.org/wiki/Adam_Smith,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,Bastia,Person,NONE,NONE,0.340777,neutral,0.0,0.047514999999999995,0.028937,0.835801,0.016908000000000003,0.056998,1,1,Bastia,Bastia,Bastia,Bastia,bastia,bastia,bast,NONE,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,David Hume,Person,NONE,NONE,0.35329299999999997,negative,-0.316724,0.246781,0.07289,0.41731499999999994,0.054513,0.090447,1,1,David Hume,David Hume,David Hume,David Hume,david hume,david hume,david hum,NONE,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,David Ricardo,Person,Politician,http://dbpedia.org/resource/David_Ricardo,0.47686300000000004,negative,-0.391127,0.0,0.0,0.0,0.0,0.0,2,1,David Ricardo,David Ricardo,David Ricardo,David Ricardo,david ricardo,david ricardo,david ricardo,http://en.wikipedia.org/wiki/David_Ricardo,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,France,Location,"Region, AdministrativeDivision, GovernmentalJurisdiction, FilmDirector, Country",http://dbpedia.org/resource/France,0.457823,negative,-0.391127,0.161631,0.031132,0.5045689999999999,0.12461199999999999,0.278123,2,1,France,France,France,France,franc,franc,frant,http://en.wikipedia.org/wiki/France,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,Frederic bastiat,Person,Politician,http://dbpedia.org/resource/Frédéric_Bastiat,0.393721,neutral,0.0,0.313607,0.040835,0.335336,0.045135,0.079614,2,1,Frederic bastiat,Frederic bastiat,Frederic bastiat,Frederic basty,freder bastiat,freder bastiat,fred basty,http://en.wikipedia.org/wiki/Frédéric_Bastiat,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,International Trade,Company,NONE,NONE,0.333306,neutral,0.0,0.557048,0.145723,0.209533,0.145555,0.059987,1,1,International Trade,International Trade,International Trade,International Trade,intern trade,intern trade,intern trad,NONE,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,Spain,Location,"AdministrativeDivision, GovernmentalJurisdiction, Kingdom, Country",http://dbpedia.org/resource/Spain,0.595809,negative,-0.369687,0.348938,0.047017,0.448074,0.068104,0.148367,4,1,Spain,Spain,Spain,Spain,spain,spain,spain,http://en.wikipedia.org/wiki/Spain,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,Spanish Goods,Company,NONE,NONE,0.4099310000000001,neutral,0.0,0.164864,0.06343,0.495717,0.08160099999999999,0.136997,1,1,Spanish Goods,spanish Goods,spanish Goods,span Goods,spanish good,spanish good,span good,NONE,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
EEzgE2uwVuw,Taco Bell,Facility,NONE,NONE,0.341071,positive,0.7579859999999999,0.15449000000000002,0.069867,0.6437109999999999,0.047598,0.027061,1,1,Taco Bell,Taco Bell,Taco Bell,Taco Bell,taco bell,taco bell,taco bel,NONE,0.9987,0.031,0.16699999999999998,0.802,0.2289594356261023,0.4909964726631392,positive,0.605903,0.15496400000000002,0.6236619999999999,0.495181,0.081695,0.090891,0.0,9.699999809265137,Free Trade,2011-08-08T10:55:32.000Z,UC51_awyLXl2nxCduuzzmw4w,Robert P Murphy - Free Trade,"""Never attempt to make at home what it will cost more to make than to buy.""  
-- Adam Smith     http://www.LibertyPen",LibertyPen,"economics', 'tariffs', 'metal', 'mercantilism', 'gold', 'Spain', 'France', 'fair', 'David', 'Hume', 'wealth', 'prices', 'Adam', 'Smith', 'riches', 'commodities', 'private', 'Ricardo', 'thinkers', 'prosperity', 'specialize', 'absolute', 'advantage', 'free', 'market', 'laissez-faire', 'trading', 'comparative', 'principles', 'labor', 'unions', 'produce', 'option', 'policy', 'international', 'standards', 'living', 'productive', 'regulation', 'government', 'candle', 'makers', 'petition', 'competition'",PT5M27S,327,6
