video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
F9eGwHNGv3I,25%,Quantity,NONE,NONE,0.366516,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,25 %,25 %,25 %,25 %,25 %,25 %,25 %,NONE,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,ABC,Broadcaster,"Organization, Broadcast, Company, TVNetwork, AwardNominee, AwardWinner, TelevisionStation",http://dbpedia.org/resource/American_Broadcasting_Company,0.43781899999999996,negative,-0.799977,0.33485,0.457071,0.057366999999999994,0.339879,0.10337,1,1,ABC,ABC,ABC,ABC,abc,abc,abc,http://en.wikipedia.org/wiki/American_Broadcasting_Company,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,Africa,Location,Continent,http://dbpedia.org/resource/Africa,0.544728,negative,-0.731797,0.13351300000000002,0.8460469999999999,0.06377999999999999,0.035613,0.028232999999999998,1,1,Africa,Africa,Africa,Africa,africa,africa,afric,http://en.wikipedia.org/wiki/Africa,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,Donald Trump,Person,"AwardNominee, AwardWinner, Celebrity, CompanyFounder, TVPersonality, TVProducer, FilmActor, TVActor",http://dbpedia.org/resource/Donald_Trump,0.53737,negative,-0.565091,0.41443599999999997,0.314363,0.13054200000000002,0.187954,0.104698,2,1,Donald Trump,Donald Trump,Donald Trump,Donald Trump,donald trump,donald trump,donald trump,http://en.wikipedia.org/wiki/Donald_Trump,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,Minister Davies,Person,NONE,NONE,0.556585,positive,0.888284,0.331365,0.110132,0.484288,0.020678,0.039925,2,1,Minister Davies,Minister Davies,Minister Davies,Minister Davies,minist davi,minist davi,min davy,NONE,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,Mr. Davis,Person,NONE,NONE,0.5935779999999999,neutral,0.0,0.564919,0.097755,0.082455,0.06646,0.174292,3,1,Mr. Davis,Mr. Davis,Mr. Davis,Mr. Davis,mr. davi,mr. davi,mr. dav,NONE,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,President,JobTitle,NONE,NONE,0.401781,negative,-0.330206,0.272041,0.094601,0.24529299999999998,0.050575,0.078973,1,1,President,President,President,President,presid,presid,presid,NONE,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,Pretoria,Location,City,http://dbpedia.org/resource/Pretoria,0.451946,negative,-0.799977,0.33485,0.457071,0.057366999999999994,0.339879,0.10337,1,1,Pretoria,Pretoria,Pretoria,Pretoria,pretoria,pretoria,pretor,http://en.wikipedia.org/wiki/Pretoria,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,Sophia,Person,NONE,NONE,0.416951,negative,-0.731797,0.0,0.0,0.0,0.0,0.0,1,1,Sophia,Sophia,Sophia,Sophia,sophia,sophia,soph,NONE,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
F9eGwHNGv3I,South Africa,Location,Country,NONE,0.42884300000000003,neutral,0.0,0.604528,0.13206700000000002,0.052648,0.074806,0.129943,1,1,South Africa,South Africa,South Africa,South Africa,south africa,south africa,sou afric,NONE,0.573,0.071,0.087,0.8420000000000001,0.08187499999999998,0.3769166666666666,negative,-0.435643,0.083938,0.569164,0.510243,0.653702,0.06162,-0.10000000149011612,4.5,Free Trade,2018-03-26T17:47:55.000Z,UC8yH-uI81UUtEMDsowQyx1g,DTI clarifies SA's position on free trade,"The Department of Trade and Industry has clarified South Africa's position as the continent moves towards free trade. The framework for the African Continent Free Trade Area or ACFTA was signed on the 21st of March in Kigali, Rwanda. It is expected that it will boost intra-Africa trade and create a single market of over 1 billion people to boost exports and manufacturing sectors across the continent. 
Minister of Trade and Industry, Dr. Rob Davies briefed the media in Pretoria earlier today about the African deal and US trade. 
It's feared that tariffs imposed by US President, Donald Trump, could hurt South African steel and other exports

For more news, visit: sabcnews.com",SABC Digital News,"SABC News', 'actuality', 'world news', 'local news', 'Dr. Rob Davies', 'African Continent Free Trade Area', 'ACFTA', 'Department of Trade and Industry', 'DTI'",PT2M20S,140,3
