video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
RC3RhWVtnsA,10 years,Quantity,NONE,NONE,0.349383,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10 year,10 year,10 year,10 year,10 year,10 year,10 year,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,18 months,Quantity,NONE,NONE,0.349383,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,18 month,18 month,18 month,18 month,18 month,18 month,18 month,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,48 hours,Quantity,NONE,NONE,0.349383,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,48 hour,48 hour,48 hour,48 hour,48 hour,48 hour,48 hour,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,Carlos,Person,NONE,NONE,0.670574,neutral,0.0,0.22734400000000002,0.16414700000000002,0.38596199999999997,0.20246199999999998,0.090313,2,1,Carlos,Carlos,Carlos,Carlos,carlo,carlo,carlo,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,Catalan Parliament,Organization,GovernmentalBody,http://dbpedia.org/resource/Parliament_of_Catalonia,0.927618,neutral,0.0,0.25360900000000003,0.107869,0.364774,0.156773,0.15276099999999998,2,1,Catalan Parliament,Catalan Parliament,Catalan Parliament,Catalan Parliament,catalan parliament,catalan parliament,cat parlia,http://en.wikipedia.org/wiki/Parliament_of_Catalonia,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,Catalonia,Location,City,NONE,0.4453720000000001,neutral,0.0,0.08059,0.038348,0.53695,0.190717,0.147708,1,1,Catalonia,Catalonia,Catalonia,Catalonia,catalonia,catalonia,catalon,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,Catalonia,Location,Country,NONE,0.5052840000000001,neutral,0.0,0.08059,0.038348,0.53695,0.190717,0.147708,1,1,Catalonia,Catalonia,Catalonia,Catalonia,catalonia,catalonia,catalon,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,Fin de Semana,Location,City,NONE,0.4954939999999999,neutral,0.0,0.377134,0.115776,0.230494,0.23579699999999998,0.157331,1,1,Fin de Semana,Fin de Semana,Fin de Semana,Fin de Semana,fin de semana,fin de semana,fin de seman,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,Spanish government,Organization,NONE,NONE,0.3919510000000001,neutral,0.0,0.377134,0.115776,0.230494,0.23579699999999998,0.157331,1,1,Spanish government,spanish govern,spanish govern,span govern,spanish govern,spanish govern,span govern,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
RC3RhWVtnsA,five years,Quantity,NONE,NONE,0.349383,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,five year,five year,five year,fiv year,five year,five year,fiv year,NONE,0.5187,0.034,0.048,0.918,0.033194444444444436,0.3247222222222222,negative,-0.7382489999999999,0.137494,0.502545,0.491213,0.11578,0.184846,0.0,3.0,Catalonia Independence,2017-10-27T16:04:10.000Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Catalonia independence: Who is Catalan separatists' leader Carles Puigdemont?,"Subscribe to France 24 now:
http://f24.my/youtubeEN

FRANCE 24 live news stream: all the latest news 24/7
http://f24.my/YTliveEN

Catalonia independence: Who is Catalan separatists'' leader Carles Puigdemont? FRANCE24''s Clément Bonnerot and Ellen Gainsford take a closer look.

Visit our website:
http://www.france24.com

Subscribe to our YouTube channel:
http://f24.my/youtubeEN

Like us on Facebook:
https://www.facebook.com/FRANCE24.English

Follow us on Twitter:
https://twitter.com/France24_en",FRANCE 24 English,"France24', 'Catalonia', 'March', 'pressure', 'independence', 'referendum', 'Barcelona', 'camp', 'Turnout', 'Madrid', 'Rajoy', 'Felipe', 'Spain', 'Spanish', 'King', 'Sarah Morris', 'Carles Puigdemont'",PT1M55S,115,2
