video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
RvNaWsGZH3E,2.8 million tonnes,Quantity,NONE,NONE,0.47307,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.8 million tonne,2.8 million tonn,2.8 million tonn,2.8 mil ton,2.8 million tonn,2.8 million tonn,2.8 mil ton,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,20 minutes,Quantity,NONE,NONE,0.47307,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20 minute,20 minut,20 minut,20 minut,20 minut,20 minut,20 minut,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,32 square kilometers,Quantity,NONE,NONE,0.47307,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,32 square kilometer,32 squar kilomet,32 squar kilomet,32 squ kilomet,32 squar kilomet,32 squar kilomet,32 squ kilomet,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,650 thousand barrels,Quantity,NONE,NONE,0.47307,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,650 thousand barrel,650 thousand barrel,650 thousand barrel,650 thousand barrel,650 thousand barrel,650 thousand barrel,650 thousand barrel,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,750 thousand metric tons,Quantity,NONE,NONE,0.47307,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,750 thousand metric ton,750 thousand metric ton,750 thousand metric ton,750 thousand met ton,750 thousand metric ton,750 thousand metric ton,750 thousand met ton,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,Africa,Location,Continent,http://dbpedia.org/resource/Africa,0.626328,positive,0.9508260000000001,0.06686900000000001,0.045880000000000004,0.5847899999999999,0.026264,0.033780000000000004,1,1,Africa,Africa,Africa,Africa,africa,africa,afric,http://en.wikipedia.org/wiki/Africa,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,Europe,Location,Country,NONE,0.521674,positive,0.9508260000000001,0.06686900000000001,0.045880000000000004,0.5847899999999999,0.026264,0.033780000000000004,1,1,Europe,Europe,Europe,Europe,europ,europ,europ,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,Lagos Island International Airport,Facility,NONE,NONE,0.5301,positive,0.538616,0.173463,0.075046,0.39555799999999997,0.008487999999999999,0.051431,1,1,Lagos Island International Airport,Lagos Island International Airport,Lagos Island International Airport,Lagos Island International Airport,lago island intern airport,lago island intern airport,lago island intern airport,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,Nigeria,Location,"GovernmentalJurisdiction, BoardMember, Country",http://dbpedia.org/resource/Nigeria,0.535229,positive,0.7942359999999999,0.29731799999999997,0.139532,0.558696,0.002997,0.049914,1,1,Nigeria,Nigeria,Nigeria,Nigeria,nigeria,nigeria,niger,http://en.wikipedia.org/wiki/Nigeria,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
RvNaWsGZH3E,Project Finance,Company,NONE,NONE,0.516522,positive,0.7942359999999999,0.29731799999999997,0.139532,0.558696,0.002997,0.049914,1,1,Project Finance,Project Finance,Project Finance,Project Finance,project financ,project financ,project fin,NONE,0.9846,0.004,0.091,0.905,0.19470021645021648,0.4659073199527745,positive,0.8557459999999999,0.06768400000000001,0.8022699999999999,0.081595,0.064735,0.004308,0.10000000149011612,2.4000000953674316,Free Trade,2018-06-27T11:30:41.000Z,UCmc9cc1TRhUBJJQAjekO4UA,Ibeju Lekki Projects In Detail // Lekki Free Trade Zone,Ibeju Lekki Project In Details,Gabriel Okpan,,PT4M9S,249,5
