video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
SI7v5Uxo_is,America,Location,Continent,NONE,0.569116,positive,0.556383,0.31357199999999996,0.044164,0.06364199999999999,0.358852,0.093498,2,1,America,America,America,America,america,america,americ,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,Bush,Person,NONE,NONE,0.354423,neutral,0.0,0.548257,0.221782,0.08206799999999999,0.165656,0.221136,1,1,Bush,Bush,Bush,Bush,bush,bush,bush,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,Cambodia Lamar,Location,City,NONE,0.417734,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Cambodia Lamar,Cambodia Lamar,Cambodia Lamar,Cambodia Lamar,cambodia lamar,cambodia lamar,cambod lam,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,Cheney,Person,NONE,NONE,0.356513,neutral,0.0,0.548257,0.221782,0.08206799999999999,0.165656,0.221136,1,1,Cheney,Cheney,Cheney,Cheney,cheney,cheney,cheney,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,City PD middle University,Organization,NONE,NONE,0.459663,neutral,0.0,0.412362,0.063503,0.13764,0.078019,0.089371,1,1,City PD middle University,City PD middl University,City PD middl University,City PD middl University,citi PD middl univers,citi pd middl univers,city pd middl univers,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,El Pollo Pollo Lomas,Facility,NONE,NONE,0.80718,positive,0.685707,0.163918,0.085227,0.489545,0.014284,0.063621,2,1,El Pollo Pollo Lomas,El Pollo Pollo Lomas,El Pollo Pollo Lomas,El Pollo Pollo Lomas,El pollo pollo loma,el pollo pollo loma,el pollo pollo loma,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,Ella,Person,NONE,NONE,0.397978,neutral,0.0,0.183694,0.072189,0.5207930000000001,0.17358800000000002,0.12989,1,1,Ella,Ella,Ella,Ella,ella,ella,ell,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,Europe,Location,"MusicalGroup, BroadcastArtist, FilmMusicContributor, Lyricist, MusicalArtist, RecordProducer, Continent",http://dbpedia.org/resource/Europe,0.408804,neutral,0.0,0.140237,0.255796,0.28299,0.038993,0.010399,1,1,Europe,Europe,Europe,Europe,europ,europ,europ,http://en.wikipedia.org/wiki/Europe,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,Isabella,Location,City,NONE,0.398109,neutral,0.0,0.412362,0.063503,0.13764,0.078019,0.089371,1,1,Isabella,Isabella,Isabella,Isabella,isabella,isabella,isabell,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
SI7v5Uxo_is,Jean-Pierre Duman,Person,NONE,NONE,0.417422,neutral,0.0,0.13396,0.055464,0.394196,0.056763,0.073098,1,1,Jean-Pierre Duman,Jean-Pierre Duman,Jean-Pierre Duman,Jean-Pierre Duman,jean-pierr duman,jean-pierr duman,jean-pierre dum,NONE,0.9782,0.054000000000000006,0.133,0.813,0.11050959909655562,0.5244259363824579,positive,0.407785,0.12178,0.516712,0.207303,0.098714,0.122251,0.10000000149011612,8.5,Vaccination,2017-10-02T13:56:21.000Z,UCJldRgT_D7Am-ErRHQZ90uw,Isabelle Adjani : vaccination et contre-vérités - Le rendez-vous du médiateur,"S’il est bien un sujet, qui, depuis la rentrée, suscite une quantité impressionnante de réactions, c’est le domaine de la santé. Et, notamment, les vaccinations. 
Bruno Denaes, médiateur à Radio France, a invité Vincent Josse, producteur du ""Grand Atelier"" sur France Inter, chez qui Isabelle Adjani avait souhaité aborder le sujet… ce qui avait suscité de nombreuses réactions de la part des auditeurs",France Inter,"France Inter', '29 septembre 2017', 'Emission vidéo test', 'Danielle Messager', 'Vincent Josse', 'Bruno Denaes', 'isabelle Ajdani', 'santé', 'vaccins'",PT8M52S,532,9
