video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
XwxHTDhUmeo,3 years,Quantity,NONE,NONE,0.17616800000000002,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3 year,3 year,3 year,3 year,3 year,3 year,3 year,NONE,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,America,Location,Continent,NONE,0.284413,positive,0.350065,0.142247,0.141854,0.451219,0.063551,0.021057,3,1,America,America,America,America,america,america,americ,NONE,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,Britain,Location,Country,NONE,0.323369,positive,0.087603,0.359584,0.042391000000000005,0.306043,0.07571,0.145304,4,1,Britain,Britain,Britain,Britain,britain,britain,britain,NONE,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,Congress,Organization,"Dedicator, GovernmentalBody, Legislature, NaturalOrCulturalPreservationAgency",http://dbpedia.org/resource/United_States_Congress,0.17616800000000002,positive,0.881281,0.23074499999999998,0.086234,0.465081,0.087021,0.120643,1,1,Congress,Congress,Congress,Congress,congress,congress,congress,http://en.wikipedia.org/wiki/United_States_Congress,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,European Union,Organization,"Location, Country, GovernmentalJurisdiction, MembershipOrganization, AwardWinner",http://dbpedia.org/resource/European_Union,0.372053,negative,-0.220529,0.494493,0.10424100000000001,0.615128,0.10638900000000001,0.180729,6,1,European Union,European Union,European Union,European Union,european union,european union,europ un,http://en.wikipedia.org/wiki/European_Union,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,President,JobTitle,NONE,NONE,0.24854400000000001,positive,0.912749,0.387293,0.056726,0.36893899999999996,0.07740599999999999,0.124579,1,1,President,President,President,President,presid,presid,presid,NONE,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,Senate,Organization,"GovernmentalBody, Legislature",http://dbpedia.org/resource/United_States_Senate,0.21422800000000009,positive,0.664486,0.185423,0.069523,0.576133,0.080299,0.09196,2,1,Senate,Senate,Senate,Senate,senat,senat,sen,http://en.wikipedia.org/wiki/United_States_Senate,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,Senator Wyden,Person,NONE,NONE,0.219045,neutral,0.0,0.20033099999999998,0.14238699999999999,0.185606,0.016623,0.058092999999999985,1,1,Senator Wyden,Senator Wyden,Senator Wyden,Senator Wyden,senat wyden,senat wyden,sen wyd,NONE,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,United Kingdom,Location,"AdministrativeDivision, GovernmentalJurisdiction, Kingdom, MeteorologicalService, Country",http://dbpedia.org/resource/United_Kingdom,0.90238,positive,0.347655,0.24811100000000005,0.12158900000000004,0.536138,0.110108,0.115388,14,1,United Kingdom,United Kingdom,United Kingdom,United Kingdom,unit kingdom,unit kingdom,unit kingdom,http://en.wikipedia.org/wiki/United_Kingdom,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
XwxHTDhUmeo,United States,Location,"Region, AdministrativeDivision, GovernmentalJurisdiction, FilmEditor, Country",http://dbpedia.org/resource/United_States,0.582996,positive,0.574878,0.547389,0.17893599999999998,0.5861930000000001,0.061308,0.085869,7,1,United States,United States,United States,United States,unit state,unit state,unit stat,http://en.wikipedia.org/wiki/United_States,0.9988,0.023,0.16699999999999998,0.81,0.18888435374149665,0.502887755102041,positive,0.50521,0.114951,0.560387,0.592751,0.100925,0.093758,0.10000000149011612,12.699999809265135,Free Trade,2019-03-28T19:11:27.000Z,UCplVxs_j_sLAt0fkplXcl4A,U.S.-U.K. Free Trade Resolution,Full text of the speech can be found here: https://www.lee.senate.gov/public/index.cfm?p=speeches&id=2A4A2A06-6831-4E37-9CEB-213F2AFE5D49,senatormikelee,,PT6M21S,381,7
