video_id,entity,type,subtypes,DBpedia_URL,relevance,sentiment_label,sentiment_score,emotion_sadness,emotion_fear,emotion_joy,emotion_disgust,emotion_anger,count,is_entity,lemma,porter_stem,snowball_stem,lancaster_stem,porter_stem_notprocessed,snowball_stem_notprocessed,lancaster_stem_notprocessed,Wikipage,vader_compound,vader_neg_score,vader_pos_score,vader_neu_score,textblob_polarity,textblob_subjectivity,ibm_sentiment_label,ibm_sentiment_score,ibm_anger,ibm_joy,ibm_sadness,ibm_fear,ibm_disgust,google_sentiment_score,google_sentiment_magnitude,topic,publishedAt,channelId,title,description,channelTitle,tags,duration,duration_seconds,duration_minutes
kDK-ZEhaOq0,12 liters,Quantity,NONE,NONE,0.189844,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,12 liter,12 liter,12 liter,12 lit,12 liter,12 liter,12 lit,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,17 years,Quantity,NONE,NONE,0.189844,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,17 year,17 year,17 year,17 year,17 year,17 year,17 year,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,25 years,Quantity,NONE,NONE,0.189844,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1,1,25 year,25 year,25 year,25 year,25 year,25 year,25 year,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Belgium,Location,"HumanLanguage, Region, AdministrativeDivision, GovernmentalJurisdiction, Kingdom, Country",http://dbpedia.org/resource/Belgium,0.23009699999999997,negative,-0.48953199999999997,0.274584,0.162735,0.024571,0.6316970000000001,0.21543800000000002,1,1,Belgium,Belgium,Belgium,Belgium,belgium,belgium,belg,http://en.wikipedia.org/wiki/Belgium,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Carl,Person,NONE,NONE,0.190922,negative,-0.48953199999999997,0.0,0.0,0.0,0.0,0.0,1,1,Carl,Carl,Carl,Carl,carl,carl,carl,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Catalan Independence Movement,Organization,NONE,NONE,0.43852399999999997,neutral,0.0,0.30935,0.045307,0.475225,0.146093,0.15119100000000002,1,1,Catalan Independence Movement,Catalan Independence Movement,Catalan Independence Movement,Catalan Independence Movement,catalan independ movement,catalan independ movement,cat independ mov,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Catalonia,Location,City,NONE,0.565979,negative,-0.564462,0.258283,0.49731800000000004,0.06031900000000001,0.6391819999999999,0.277907,6,1,Catalonia,Catalonia,Catalonia,Catalonia,catalonia,catalonia,catalon,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Center Stage,Company,NONE,NONE,0.260101,neutral,0.0,0.30935,0.045307,0.475225,0.146093,0.15119100000000002,1,1,Center Stage,Center Stage,Center Stage,Center Stage,center stage,center stage,cent stag,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Colonia Spain Europe,Company,NONE,NONE,0.41325100000000003,neutral,0.0,0.36143400000000003,0.048465,0.065569,0.266018,0.107794,1,1,Colonia Spain Europe,Colonia Spain Europe,Colonia Spain Europe,Colonia Spain Europe,colonia spain europ,colonia spain europ,colon spain europ,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,European Court of Human Rights,Organization,"Location, Facility, Building",http://dbpedia.org/resource/European_Court_of_Human_Rights,0.34441,negative,-0.505541,0.397631,0.19329000000000002,0.048991,0.32206399999999996,0.22236399999999998,1,1,European Court of Human Rights,european Court of Human Rights,european Court of Human Rights,europ Court of Human Rights,european court of human right,european court of human right,europ court of hum right,http://en.wikipedia.org/wiki/European_Court_of_Human_Rights,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,European Parliament,Organization,GovernmentalBody,http://dbpedia.org/resource/European_Parliament,0.346815,negative,-0.389768,0.215061,0.12324,0.10113899999999999,0.521725,0.573122,2,1,European Parliament,European Parliament,European Parliament,European Parliament,european parliament,european parliament,europ parlia,http://en.wikipedia.org/wiki/European_Parliament,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Hannah Arendt,Person,"Academic, AwardNominee, Philosopher",http://dbpedia.org/resource/Hannah_Arendt,0.23689699999999997,neutral,0.0,0.185638,0.092275,0.11909000000000006,0.27915300000000004,0.23730900000000002,1,1,Hannah Arendt,Hannah Arendt,Hannah Arendt,Hannah Arendt,hannah arendt,hannah arendt,hannah arendt,http://en.wikipedia.org/wiki/Hannah_Arendt,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Javier Zaragoza,Person,NONE,NONE,0.20468499999999998,negative,-0.389768,0.31091599999999997,0.099379,0.04676,0.368539,0.487729,1,1,Javier Zaragoza,Javier Zaragoza,Javier Zaragoza,Javier Zaragoza,javier zaragoza,javier zaragoza,javy zaragoz,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
kDK-ZEhaOq0,Jordi,Person,NONE,NONE,0.22539099999999998,negative,-0.756418,0.16985699999999998,0.517085,0.08367999999999999,0.42216099999999995,0.157783,1,1,Jordi,Jordi,Jordi,Jordi,jordi,jordi,jord,NONE,-0.9757,0.119,0.095,0.7859999999999999,0.04279497098646035,0.2947775628626692,negative,-0.46854,0.500329,0.121617,0.52773,0.118569,0.507232,-0.10000000149011612,4.900000095367432,Catalonia Independence,2019-06-13T04:53:58.000Z,UCkHECPiiuN8rn-W9Lflp-zA,Trial of Catalan Independence Leaders Ends in Spain   The New York Times,"Trial of Catalan Independence Leaders Ends in Spain   The New York Times
Read moreAny violation of policy, community guidelines, copyright law or business cooperation please contact directly by mail  us.hotnews20 at gmail.com",DAILY HOT NEWS,"Trial', 'of', 'Catalan', 'Independence', 'Leaders', 'Ends', 'in', 'Spain', 'The', 'New', 'York', 'Times'",PT4M51S,291,5
